One Piece - Édition originale - Tome 17: Les cerisiers d'Hiluluk,7.99,,978-2723494731,https://m.media-amazon.com/images/I/91QYO8wlnKL._SY522_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
One Piece - Coffret East Blue (Tomes 01 à 12),82.8,,978-2344050125,https://m.media-amazon.com/images/I/71mwAvj3kQL._SY522_.jpg,Glénat Manga; Illustrated édition (17 novembre 2021),Eiichiro Oda
Solo Leveling T13 + Solo Leveling Roman T01,29.9,"Lorsque d'étranges portails sont apparus aux quatre coins du monde, l'humanité a dû trouver une parade pour ne pas finir massacrée par les griffes des monstres des monstres qui en sortent. Dans le même temps, certaines personnes ont développé des capacités permettant de les chasser. Ces combattants intrépides n'hésitent pas à foncer au coeur des donjons pour combattre les créatures qu'ils abritent.",978-2382882672,https://m.media-amazon.com/images/I/71YHbS7aPAL._SY522_.jpg,Kbooks; Illustrated édition (29 mai 2024),DUBU(REDICE STUDIO)
Sakamoto Days - Tome 13,7.99,,978-2344058923,https://m.media-amazon.com/images/I/81HbgiqRjaL._SY522_.jpg,Glénat Manga; Illustrated édition (2 mai 2024),Yuto Suzuki
One Piece - Édition originale - Tome 19: Rébellion,7.99,,978-2723494755,https://m.media-amazon.com/images/I/91dWJItG0yL._SY522_.jpg,Glénat Manga; Illustrated édition (3 juillet 2013),Eiichiro Oda
One Piece - Coffret Thriller Bark (Tomes 46 à 53),7.99,,978-2344058343,https://m.media-amazon.com/images/I/81Joqtd1NgL._SY522_.jpg,Glénat Manga; Illustrated édition (8 novembre 2023),Eiichiro Oda
One Piece - Édition originale - Tome 21: Utopia,7.99,,978-2723494779,https://m.media-amazon.com/images/I/919zwamQaeL._SY522_.jpg,Glénat Manga; Illustrated édition (3 janvier 2014),Eiichiro Oda
One Piece - Édition originale - Tome 106,7.99,,978-2344052198,https://m.media-amazon.com/images/I/91MlhHmkcGL._SY522_.jpg,Glénat Manga; Illustrated édition (6 décembre 2023),Eiichiro Oda
One Piece - Édition originale - Tome 22: Hope !,7.99,,978-2723494786,https://m.media-amazon.com/images/I/910EvRRxpmL._SY522_.jpg,Glénat Manga; Illustrated édition (3 janvier 2014),Eiichiro Oda
Spy x Family - T7 (7),7.2,Sauvez le monde avec l'élite des agents (très) spéciaux : la famille Forger ! Une comédie d'espionnage pétillante !,978-2380712605,https://m.media-amazon.com/images/I/61-XKaALNyL._SY522_.jpg,Kurokawa; Illustrated édition (10 février 2022),Tatsuya Endo
Frieren T12,7.99,Que deviennent les héros une fois le mal vaincu ?,979-1032716090,https://m.media-amazon.com/images/I/71vJwWlEPML._SY522_.jpg,Ki-oon; Illustrated édition (2 mai 2024),Kanehito Yamada
Sand Land,7.99,"Un monde, un temps indéterminé...A la suite de nombreuses guerres entre les humains, la Terre s'est transformée en un gigantesque désert et l'eau est devenue la denrée la plus rare.Belzébubu, le « prince des monstres », pille les convois d'eau pour approvisionner ses congénaires, jusqu'au jour où il entend parler d'une oasis légendaire qui se trouverait quelque part en plein coeur du désert.Aux côtés d'un humain, il se lance alors dans une aventure riche en rebondissements de toutes sortes...Un superbe one-shot réalisé par l'auteur de Dragon Ball.",978-2723437479,https://m.media-amazon.com/images/I/71pQQwykCiL._SY522_.jpg,Glénat (27 mars 2002),Akira Toriyama
Spy x Family - T10 (10),7.2,Sauvez le monde avec l'élite des agents (très) spéciaux : la famille Forger ! Une comédie d'espionnage pétillante !,978-2380712971,https://m.media-amazon.com/images/I/61o0bdcCC4L._SY522_.jpg,Kurokawa; Illustrated édition (1 décembre 2022),Tatsuya Endo
One Piece - Coffret Water Seven (Tomes 33 à 45),7.99,,978-2344057834,https://m.media-amazon.com/images/I/71krLWDLTlL._SY522_.jpg,Glénat Manga; Illustrated édition (7 juin 2023),Eiichiro Oda
One Piece - Édition originale - Tome 28: Wiper le démon furieux,7.99,,978-2723494847,https://m.media-amazon.com/images/I/91qAH2eugbL._SY522_.jpg,Glénat Manga; Illustrated édition (3 janvier 2014),Eiichiro Oda
Spy x Family - T9 (9),7.2,Sauvez le monde avec l'élite des agents (très) spéciaux : la famille Forger ! Une comédie d'espionnage pétillante !,978-2380712964,https://m.media-amazon.com/images/I/718Ibpt--aL._SY522_.jpg,Kurokawa; Illustrated édition (1 septembre 2022),Tatsuya Endo
One Piece - Édition originale - Tome 23: L'aventure de Vivi,7.99,,978-2723494793,https://m.media-amazon.com/images/I/91WuVHH4FsL._SY522_.jpg,Glénat Manga; Illustrated édition (3 janvier 2014),Eiichiro Oda
One Piece - Édition originale - Tome 26: Aventure sur l'île de Dieu,7.99,,978-2723494823,https://m.media-amazon.com/images/I/91cYYD2l--L._SY522_.jpg,Glénat Manga; Illustrated édition (3 janvier 2014),Eiichiro Oda
